Continente;cod continente;País;cod pais;UF;cod uf;Via;cod via;ano;Mês;cod mes;Chegadas
Europa;6;Bélgica;59;Amazonas;4;Aérea;1;2024;Janeiro;1;3
América Central e Caribe;2;Outros países da América Central e Caribe;22;Amazonas;4;Aérea;1;2024;Janeiro;1;1
América do Norte;3;Canadá;23;Amazonas;4;Aérea;1;2024;Janeiro;1;94
Ásia;5;China;40;Amazonas;4;Aérea;1;2024;Janeiro;1;8
Ásia;5;China, Hong Kong;41;Amazonas;4;Aérea;1;2024;Janeiro;1;2
América do Sul;4;Colômbia;29;Amazonas;4;Aérea;1;2024;Janeiro;1;75
América Central e Caribe;2;Costa Rica;12;Amazonas;4;Aérea;1;2024;Janeiro;1;8
Europa;6;Dinamarca;62;Amazonas;4;Aérea;1;2024;Janeiro;1;5
América Central e Caribe;2;El Salvador;14;Amazonas;4;Aérea;1;2024;Janeiro;1;1
América do Sul;4;Equador;30;Amazonas;4;Aérea;1;2024;Janeiro;1;14
Europa;6;Eslováquia;63;Amazonas;4;Aérea;1;2024;Janeiro;1;1
Europa;6;Espanha;65;Amazonas;4;Aérea;1;2024;Janeiro;1;7
América do Norte;3;Estados Unidos;24;Amazonas;4;Aérea;1;2024;Janeiro;1;1118
Ásia;5;Filipinas;43;Amazonas;4;Aérea;1;2024;Janeiro;1;1
Europa;6;França;68;Amazonas;4;Aérea;1;2024;Janeiro;1;25
Europa;6;Grécia;69;Amazonas;4;Aérea;1;2024;Janeiro;1;1
América Central e Caribe;2;Guatemala;15;Amazonas;4;Aérea;1;2024;Janeiro;1;2
América do Sul;4;Guiana;31;Amazonas;4;Aérea;1;2024;Janeiro;1;6
Europa;6;Holanda;70;Amazonas;4;Aérea;1;2024;Janeiro;1;3
América Central e Caribe;2;Honduras;17;Amazonas;4;Aérea;1;2024;Janeiro;1;2
Europa;6;Hungria;71;Amazonas;4;Aérea;1;2024;Janeiro;1;1
Ásia;5;Índia;44;Amazonas;4;Aérea;1;2024;Janeiro;1;2
Europa;6;Irlanda;72;Amazonas;4;Aérea;1;2024;Janeiro;1;10
Ásia;5;Israel;47;Amazonas;4;Aérea;1;2024;Janeiro;1;2
Europa;6;Itália;73;Amazonas;4;Aérea;1;2024;Janeiro;1;8
Ásia;5;Japão;48;Amazonas;4;Aérea;1;2024;Janeiro;1;17
Europa;6;Letônia;74;Amazonas;4;Aérea;1;2024;Janeiro;1;2
Ásia;5;Malásia;50;Amazonas;4;Aérea;1;2024;Janeiro;1;2
Europa;6;Outros países da Europa;89;Amazonas;4;Aérea;1;2024;Janeiro;1;1
África;1;Marrocos;6;Amazonas;4;Aérea;1;2024;Janeiro;1;1
América do Norte;3;México;25;Amazonas;4;Aérea;1;2024;Janeiro;1;36
África;1;Moçambique;7;Amazonas;4;Aérea;1;2024;Janeiro;1;1
Europa;6;Outros países da Europa;89;Amazonas;4;Aérea;1;2024;Janeiro;1;1
Europa;6;Noruega;77;Amazonas;4;Aérea;1;2024;Janeiro;1;2
América Central e Caribe;2;Panamá;19;Amazonas;4;Aérea;1;2024;Janeiro;1;7
Ásia;5;Paquistão;51;Amazonas;4;Aérea;1;2024;Janeiro;1;1
América do Sul;4;Peru;34;Amazonas;4;Aérea;1;2024;Janeiro;1;20
Europa;6;Polônia;78;Amazonas;4;Aérea;1;2024;Janeiro;1;15
Europa;6;Portugal;79;Amazonas;4;Aérea;1;2024;Janeiro;1;7
Europa;6;Reino Unido;80;Amazonas;4;Aérea;1;2024;Janeiro;1;32
Ásia;5;República da Coreia;52;Amazonas;4;Aérea;1;2024;Janeiro;1;5
América Central e Caribe;2;República Dominicana;20;Amazonas;4;Aérea;1;2024;Janeiro;1;3
Europa;6;República Tcheca;81;Amazonas;4;Aérea;1;2024;Janeiro;1;1
Europa;6;Romênia;82;Amazonas;4;Aérea;1;2024;Janeiro;1;1
Europa;6;Rússia;83;Amazonas;4;Aérea;1;2024;Janeiro;1;7
Europa;6;Suécia;85;Amazonas;4;Aérea;1;2024;Janeiro;1;2
Europa;6;Suíça;86;Amazonas;4;Aérea;1;2024;Janeiro;1;10
América do Sul;4;Suriname;35;Amazonas;4;Aérea;1;2024;Janeiro;1;4
Ásia;5;Tailândia;54;Amazonas;4;Aérea;1;2024;Janeiro;1;1
América do Sul;4;Venezuela;37;Amazonas;4;Aérea;1;2024;Janeiro;1;22
América do Sul;4;Argentina;26;Bahia;5;Aérea;1;2024;Janeiro;1;1272
América do Sul;4;Bolívia;27;Bahia;5;Aérea;1;2024;Janeiro;1;1
América do Sul;4;Chile;28;Bahia;5;Aérea;1;2024;Janeiro;1;1
América do Sul;4;Colômbia;29;Bahia;5;Aérea;1;2024;Janeiro;1;1
América do Sul;4;Equador;30;Bahia;5;Aérea;1;2024;Janeiro;1;1
Europa;6;Espanha;65;Bahia;5;Aérea;1;2024;Janeiro;1;4
América do Norte;3;Estados Unidos;24;Bahia;5;Aérea;1;2024;Janeiro;1;6
Europa;6;França;68;Bahia;5;Aérea;1;2024;Janeiro;1;3
Europa;6;Outros países da Europa;89;Bahia;5;Aérea;1;2024;Janeiro;1;1
Europa;6;Grécia;69;Bahia;5;Aérea;1;2024;Janeiro;1;1
Europa;6;Itália;73;Bahia;5;Aérea;1;2024;Janeiro;1;1
América do Sul;4;Peru;34;Bahia;5;Aérea;1;2024;Janeiro;1;3
Europa;6;Polônia;78;Bahia;5;Aérea;1;2024;Janeiro;1;2
Europa;6;Portugal;79;Bahia;5;Aérea;1;2024;Janeiro;1;2
Europa;6;Suíça;86;Bahia;5;Aérea;1;2024;Janeiro;1;1
América do Sul;4;Uruguai;36;Bahia;5;Aérea;1;2024;Janeiro;1;1
Europa;6;Alemanha;57;Bahia;5;Aérea;1;2024;Janeiro;1;596
Europa;6;Outros países da Europa;89;Bahia;5;Aérea;1;2024;Janeiro;1;1
África;1;Angola;2;Bahia;5;Aérea;1;2024;Janeiro;1;2
América Central e Caribe;2;Outros países da América Central e Caribe;22;Bahia;5;Aérea;1;2024;Janeiro;1;1
América do Sul;4;Argentina;26;Bahia;5;Aérea;1;2024;Janeiro;1;6484
Oceania;7;Austrália;90;Bahia;5;Aérea;1;2024;Janeiro;1;2
Europa;6;Áustria;58;Bahia;5;Aérea;1;2024;Janeiro;1;33
Europa;6;Bélgica;59;Bahia;5;Aérea;1;2024;Janeiro;1;74
Europa;6;Outros países da Europa;89;Bahia;5;Aérea;1;2024;Janeiro;1;5
América do Sul;4;Bolívia;27;Bahia;5;Aérea;1;2024;Janeiro;1;3
Europa;6;Bulgária;60;Bahia;5;Aérea;1;2024;Janeiro;1;3
África;1;Cabo Verde;3;Bahia;5;Aérea;1;2024;Janeiro;1;1
América do Norte;3;Canadá;23;Bahia;5;Aérea;1;2024;Janeiro;1;5
América do Sul;4;Chile;28;Bahia;5;Aérea;1;2024;Janeiro;1;553
Ásia;5;Outros países da Ásia;56;Bahia;5;Aérea;1;2024;Janeiro;1;1
América do Sul;4;Colômbia;29;Bahia;5;Aérea;1;2024;Janeiro;1;11
Europa;6;Croácia;61;Bahia;5;Aérea;1;2024;Janeiro;1;7
Europa;6;Dinamarca;62;Bahia;5;Aérea;1;2024;Janeiro;1;17
América Central e Caribe;2;El Salvador;14;Bahia;5;Aérea;1;2024;Janeiro;1;1
Europa;6;Eslováquia;63;Bahia;5;Aérea;1;2024;Janeiro;1;3
Europa;6;Eslovênia;64;Bahia;5;Aérea;1;2024;Janeiro;1;2
Europa;6;Espanha;65;Bahia;5;Aérea;1;2024;Janeiro;1;368
América do Norte;3;Estados Unidos;24;Bahia;5;Aérea;1;2024;Janeiro;1;86
Europa;6;Estônia;66;Bahia;5;Aérea;1;2024;Janeiro;1;2
Ásia;5;Filipinas;43;Bahia;5;Aérea;1;2024;Janeiro;1;2
Europa;6;França;68;Bahia;5;Aérea;1;2024;Janeiro;1;602
Europa;6;Grécia;69;Bahia;5;Aérea;1;2024;Janeiro;1;11
África;1;Outros países da África;11;Bahia;5;Aérea;1;2024;Janeiro;1;2
Europa;6;Holanda;70;Bahia;5;Aérea;1;2024;Janeiro;1;339
Europa;6;Hungria;71;Bahia;5;Aérea;1;2024;Janeiro;1;3
Ásia;5;Índia;44;Bahia;5;Aérea;1;2024;Janeiro;1;2
Europa;6;Irlanda;72;Bahia;5;Aérea;1;2024;Janeiro;1;28
Europa;6;Outros países da Europa;89;Bahia;5;Aérea;1;2024;Janeiro;1;1
Ásia;5;Israel;47;Bahia;5;Aérea;1;2024;Janeiro;1;29
Europa;6;Itália;73;Bahia;5;Aérea;1;2024;Janeiro;1;1080
Europa;6;Lituânia;75;Bahia;5;Aérea;1;2024;Janeiro;1;23
Europa;6;Luxemburgo;76;Bahia;5;Aérea;1;2024;Janeiro;1;3
Europa;6;Outros países da Europa;89;Bahia;5;Aérea;1;2024;Janeiro;1;1
África;1;Marrocos;6;Bahia;5;Aérea;1;2024;Janeiro;1;1
América do Norte;3;México;25;Bahia;5;Aérea;1;2024;Janeiro;1;5
África;1;Moçambique;7;Bahia;5;Aérea;1;2024;Janeiro;1;1
Europa;6;Noruega;77;Bahia;5;Aérea;1;2024;Janeiro;1;15
América do Sul;4;Paraguai;33;Bahia;5;Aérea;1;2024;Janeiro;1;13
América do Sul;4;Peru;34;Bahia;5;Aérea;1;2024;Janeiro;1;6
Europa;6;Polônia;78;Bahia;5;Aérea;1;2024;Janeiro;1;1386
Europa;6;Portugal;79;Bahia;5;Aérea;1;2024;Janeiro;1;1358
Europa;6;Reino Unido;80;Bahia;5;Aérea;1;2024;Janeiro;1;163
Ásia;5;República da Coreia;52;Bahia;5;Aérea;1;2024;Janeiro;1;10
América Central e Caribe;2;República Dominicana;20;Bahia;5;Aérea;1;2024;Janeiro;1;3
Europa;6;República Tcheca;81;Bahia;5;Aérea;1;2024;Janeiro;1;2
Europa;6;Romênia;82;Bahia;5;Aérea;1;2024;Janeiro;1;10
Europa;6;Rússia;83;Bahia;5;Aérea;1;2024;Janeiro;1;8
Europa;6;Sérvia;84;Bahia;5;Aérea;1;2024;Janeiro;1;2
Europa;6;Suécia;85;Bahia;5;Aérea;1;2024;Janeiro;1;31
Europa;6;Suíça;86;Bahia;5;Aérea;1;2024;Janeiro;1;387
Europa;6;Turquia;87;Bahia;5;Aérea;1;2024;Janeiro;1;3
Europa;6;Ucrânia;88;Bahia;5;Aérea;1;2024;Janeiro;1;16
América do Sul;4;Uruguai;36;Bahia;5;Aérea;1;2024;Janeiro;1;1296
América do Sul;4;Venezuela;37;Bahia;5;Aérea;1;2024;Janeiro;1;1
Europa;6;Outros países da Europa;89;Ceará;6;Aérea;1;2024;Janeiro;1;2
Europa;6;Alemanha;57;Ceará;6;Aérea;1;2024;Janeiro;1;354
África;1;Outros países da África;11;Ceará;6;Aérea;1;2024;Janeiro;1;1
América do Sul;4;Argentina;26;Ceará;6;Aérea;1;2024;Janeiro;1;760
Europa;6;Áustria;58;Ceará;6;Aérea;1;2024;Janeiro;1;49
Europa;6;Bélgica;59;Ceará;6;Aérea;1;2024;Janeiro;1;70
Europa;6;Outros países da Europa;89;Ceará;6;Aérea;1;2024;Janeiro;1;2
Europa;6;Outros países da Europa;89;Ceará;6;Aérea;1;2024;Janeiro;1;2
Europa;6;Bulgária;60;Ceará;6;Aérea;1;2024;Janeiro;1;1
África;1;Cabo Verde;3;Ceará;6;Aérea;1;2024;Janeiro;1;4
América do Norte;3;Canadá;23;Ceará;6;Aérea;1;2024;Janeiro;1;29
Ásia;5;Outros países da Ásia;56;Ceará;6;Aérea;1;2024;Janeiro;1;1
América do Sul;4;Chile;28;Ceará;6;Aérea;1;2024;Janeiro;1;5
Ásia;5;China;40;Ceará;6;Aérea;1;2024;Janeiro;1;3
Ásia;5;China, Hong Kong;41;Ceará;6;Aérea;1;2024;Janeiro;1;1
América do Sul;4;Colômbia;29;Ceará;6;Aérea;1;2024;Janeiro;1;6
Europa;6;Croácia;61;Ceará;6;Aérea;1;2024;Janeiro;1;3
Europa;6;Dinamarca;62;Ceará;6;Aérea;1;2024;Janeiro;1;36
América Central e Caribe;2;El Salvador;14;Ceará;6;Aérea;1;2024;Janeiro;1;1
América do Sul;4;Equador;30;Ceará;6;Aérea;1;2024;Janeiro;1;1
África;1;Outros países da África;11;Ceará;6;Aérea;1;2024;Janeiro;1;1
Europa;6;Eslováquia;63;Ceará;6;Aérea;1;2024;Janeiro;1;2
Europa;6;Eslovênia;64;Ceará;6;Aérea;1;2024;Janeiro;1;8
Europa;6;Espanha;65;Ceará;6;Aérea;1;2024;Janeiro;1;188
América do Norte;3;Estados Unidos;24;Ceará;6;Aérea;1;2024;Janeiro;1;329
Europa;6;Estônia;66;Ceará;6;Aérea;1;2024;Janeiro;1;2
Europa;6;Finlândia;67;Ceará;6;Aérea;1;2024;Janeiro;1;16
Europa;6;França;68;Ceará;6;Aérea;1;2024;Janeiro;1;715
Europa;6;Outros países da Europa;89;Ceará;6;Aérea;1;2024;Janeiro;1;1
Europa;6;Grécia;69;Ceará;6;Aérea;1;2024;Janeiro;1;10
África;1;Outros países da África;11;Ceará;6;Aérea;1;2024;Janeiro;1;2
Europa;6;Holanda;70;Ceará;6;Aérea;1;2024;Janeiro;1;259
América Central e Caribe;2;Honduras;17;Ceará;6;Aérea;1;2024;Janeiro;1;4
Europa;6;Hungria;71;Ceará;6;Aérea;1;2024;Janeiro;1;16
Ásia;5;Índia;44;Ceará;6;Aérea;1;2024;Janeiro;1;1
Ásia;5;Indonésia;45;Ceará;6;Aérea;1;2024;Janeiro;1;4
Ásia;5;Irã;46;Ceará;6;Aérea;1;2024;Janeiro;1;1
Europa;6;Irlanda;72;Ceará;6;Aérea;1;2024;Janeiro;1;16
Ásia;5;Israel;47;Ceará;6;Aérea;1;2024;Janeiro;1;6
Europa;6;Itália;73;Ceará;6;Aérea;1;2024;Janeiro;1;938
Ásia;5;Japão;48;Ceará;6;Aérea;1;2024;Janeiro;1;6
Europa;6;Letônia;74;Ceará;6;Aérea;1;2024;Janeiro;1;6
Europa;6;Outros países da Europa;89;Ceará;6;Aérea;1;2024;Janeiro;1;3
Europa;6;Lituânia;75;Ceará;6;Aérea;1;2024;Janeiro;1;10
Europa;6;Luxemburgo;76;Ceará;6;Aérea;1;2024;Janeiro;1;2
Europa;6;Outros países da Europa;89;Ceará;6;Aérea;1;2024;Janeiro;1;1
África;1;Marrocos;6;Ceará;6;Aérea;1;2024;Janeiro;1;3
América do Norte;3;México;25;Ceará;6;Aérea;1;2024;Janeiro;1;1
Europa;6;Outros países da Europa;89;Ceará;6;Aérea;1;2024;Janeiro;1;1
América Central e Caribe;2;Nicarágua;18;Ceará;6;Aérea;1;2024;Janeiro;1;1
Europa;6;Noruega;77;Ceará;6;Aérea;1;2024;Janeiro;1;118
América Central e Caribe;2;Panamá;19;Ceará;6;Aérea;1;2024;Janeiro;1;1
América do Sul;4;Paraguai;33;Ceará;6;Aérea;1;2024;Janeiro;1;4
América do Sul;4;Peru;34;Ceará;6;Aérea;1;2024;Janeiro;1;1
Europa;6;Polônia;78;Ceará;6;Aérea;1;2024;Janeiro;1;89
Europa;6;Portugal;79;Ceará;6;Aérea;1;2024;Janeiro;1;1708
África;1;Quênia;9;Ceará;6;Aérea;1;2024;Janeiro;1;1
Europa;6;Reino Unido;80;Ceará;6;Aérea;1;2024;Janeiro;1;104
Ásia;5;República da Coreia;52;Ceará;6;Aérea;1;2024;Janeiro;1;1
Europa;6;Outros países da Europa;89;Ceará;6;Aérea;1;2024;Janeiro;1;1
América Central e Caribe;2;República Dominicana;20;Ceará;6;Aérea;1;2024;Janeiro;1;1
Europa;6;República Tcheca;81;Ceará;6;Aérea;1;2024;Janeiro;1;31
Europa;6;Romênia;82;Ceará;6;Aérea;1;2024;Janeiro;1;9
Europa;6;Rússia;83;Ceará;6;Aérea;1;2024;Janeiro;1;4
Europa;6;Sérvia;84;Ceará;6;Aérea;1;2024;Janeiro;1;3
Europa;6;Suécia;85;Ceará;6;Aérea;1;2024;Janeiro;1;40
Europa;6;Suíça;86;Ceará;6;Aérea;1;2024;Janeiro;1;191
África;1;Tunísia;10;Ceará;6;Aérea;1;2024;Janeiro;1;3
Europa;6;Turquia;87;Ceará;6;Aérea;1;2024;Janeiro;1;4
Europa;6;Ucrânia;88;Ceará;6;Aérea;1;2024;Janeiro;1;9
América do Sul;4;Uruguai;36;Ceará;6;Aérea;1;2024;Janeiro;1;1
América do Sul;4;Venezuela;37;Ceará;6;Aérea;1;2024;Janeiro;1;1
Europa;6;Alemanha;57;Distrito Federal;7;Aérea;1;2024;Janeiro;1;170
América do Sul;4;Argentina;26;Distrito Federal;7;Aérea;1;2024;Janeiro;1;2045
Oceania;7;Austrália;90;Distrito Federal;7;Aérea;1;2024;Janeiro;1;11
Europa;6;Áustria;58;Distrito Federal;7;Aérea;1;2024;Janeiro;1;6
Europa;6;Bélgica;59;Distrito Federal;7;Aérea;1;2024;Janeiro;1;18
Europa;6;Outros países da Europa;89;Distrito Federal;7;Aérea;1;2024;Janeiro;1;1
América do Sul;4;Bolívia;27;Distrito Federal;7;Aérea;1;2024;Janeiro;1;4
Europa;6;Bulgária;60;Distrito Federal;7;Aérea;1;2024;Janeiro;1;3
América do Norte;3;Canadá;23;Distrito Federal;7;Aérea;1;2024;Janeiro;1;29
América do Sul;4;Chile;28;Distrito Federal;7;Aérea;1;2024;Janeiro;1;7
Ásia;5;China;40;Distrito Federal;7;Aérea;1;2024;Janeiro;1;28
Ásia;5;Cingapura;42;Distrito Federal;7;Aérea;1;2024;Janeiro;1;1
América do Sul;4;Colômbia;29;Distrito Federal;7;Aérea;1;2024;Janeiro;1;219
América Central e Caribe;2;Costa Rica;12;Distrito Federal;7;Aérea;1;2024;Janeiro;1;8
Europa;6;Croácia;61;Distrito Federal;7;Aérea;1;2024;Janeiro;1;2
América Central e Caribe;2;Cuba;13;Distrito Federal;7;Aérea;1;2024;Janeiro;1;16
Europa;6;Dinamarca;62;Distrito Federal;7;Aérea;1;2024;Janeiro;1;1
África;1;Egito;4;Distrito Federal;7;Aérea;1;2024;Janeiro;1;2
América Central e Caribe;2;El Salvador;14;Distrito Federal;7;Aérea;1;2024;Janeiro;1;7
América do Sul;4;Equador;30;Distrito Federal;7;Aérea;1;2024;Janeiro;1;128
Europa;6;Espanha;65;Distrito Federal;7;Aérea;1;2024;Janeiro;1;145
América do Norte;3;Estados Unidos;24;Distrito Federal;7;Aérea;1;2024;Janeiro;1;1428
África;1;Outros países da África;11;Distrito Federal;7;Aérea;1;2024;Janeiro;1;1
Europa;6;Finlândia;67;Distrito Federal;7;Aérea;1;2024;Janeiro;1;2
Europa;6;França;68;Distrito Federal;7;Aérea;1;2024;Janeiro;1;108
Europa;6;Outros países da Europa;89;Distrito Federal;7;Aérea;1;2024;Janeiro;1;1
Europa;6;Grécia;69;Distrito Federal;7;Aérea;1;2024;Janeiro;1;4
América Central e Caribe;2;Guatemala;15;Distrito Federal;7;Aérea;1;2024;Janeiro;1;6
América do Sul;4;Guiana;31;Distrito Federal;7;Aérea;1;2024;Janeiro;1;5
África;1;Outros países da África;11;Distrito Federal;7;Aérea;1;2024;Janeiro;1;5
América Central e Caribe;2;Haiti;16;Distrito Federal;7;Aérea;1;2024;Janeiro;1;3
Europa;6;Holanda;70;Distrito Federal;7;Aérea;1;2024;Janeiro;1;21
Europa;6;Hungria;71;Distrito Federal;7;Aérea;1;2024;Janeiro;1;4
Ásia;5;Índia;44;Distrito Federal;7;Aérea;1;2024;Janeiro;1;6
Ásia;5;Indonésia;45;Distrito Federal;7;Aérea;1;2024;Janeiro;1;2
Ásia;5;Irã;46;Distrito Federal;7;Aérea;1;2024;Janeiro;1;1
Europa;6;Irlanda;72;Distrito Federal;7;Aérea;1;2024;Janeiro;1;21
Ásia;5;Israel;47;Distrito Federal;7;Aérea;1;2024;Janeiro;1;9
Europa;6;Itália;73;Distrito Federal;7;Aérea;1;2024;Janeiro;1;67
Ásia;5;Japão;48;Distrito Federal;7;Aérea;1;2024;Janeiro;1;4
Europa;6;Lituânia;75;Distrito Federal;7;Aérea;1;2024;Janeiro;1;4
Europa;6;Luxemburgo;76;Distrito Federal;7;Aérea;1;2024;Janeiro;1;1
Ásia;5;Malásia;50;Distrito Federal;7;Aérea;1;2024;Janeiro;1;1
África;1;Outros países da África;11;Distrito Federal;7;Aérea;1;2024;Janeiro;1;1
África;1;Outros países da África;11;Distrito Federal;7;Aérea;1;2024;Janeiro;1;1
África;1;Marrocos;6;Distrito Federal;7;Aérea;1;2024;Janeiro;1;2
América do Norte;3;México;25;Distrito Federal;7;Aérea;1;2024;Janeiro;1;27
África;1;Moçambique;7;Distrito Federal;7;Aérea;1;2024;Janeiro;1;3
América Central e Caribe;2;Nicarágua;18;Distrito Federal;7;Aérea;1;2024;Janeiro;1;3
Europa;6;Noruega;77;Distrito Federal;7;Aérea;1;2024;Janeiro;1;15
Oceania;7;Nova Zelândia;91;Distrito Federal;7;Aérea;1;2024;Janeiro;1;4
América Central e Caribe;2;Panamá;19;Distrito Federal;7;Aérea;1;2024;Janeiro;1;17
América do Sul;4;Paraguai;33;Distrito Federal;7;Aérea;1;2024;Janeiro;1;7
América do Sul;4;Peru;34;Distrito Federal;7;Aérea;1;2024;Janeiro;1;371
Europa;6;Polônia;78;Distrito Federal;7;Aérea;1;2024;Janeiro;1;6
Europa;6;Portugal;79;Distrito Federal;7;Aérea;1;2024;Janeiro;1;825
Europa;6;Reino Unido;80;Distrito Federal;7;Aérea;1;2024;Janeiro;1;46
Ásia;5;República da Coreia;52;Distrito Federal;7;Aérea;1;2024;Janeiro;1;3
América Central e Caribe;2;República Dominicana;20;Distrito Federal;7;Aérea;1;2024;Janeiro;1;5
Europa;6;República Tcheca;81;Distrito Federal;7;Aérea;1;2024;Janeiro;1;21
Europa;6;Romênia;82;Distrito Federal;7;Aérea;1;2024;Janeiro;1;2
Europa;6;Rússia;83;Distrito Federal;7;Aérea;1;2024;Janeiro;1;5
América Central e Caribe;2;Outros países da América Central e Caribe;22;Distrito Federal;7;Aérea;1;2024;Janeiro;1;1
África;1;Outros países da África;11;Distrito Federal;7;Aérea;1;2024;Janeiro;1;3
Europa;6;Suécia;85;Distrito Federal;7;Aérea;1;2024;Janeiro;1;7
Europa;6;Suíça;86;Distrito Federal;7;Aérea;1;2024;Janeiro;1;80
Ásia;5;Tailândia;54;Distrito Federal;7;Aérea;1;2024;Janeiro;1;1
Ásia;5;Taiwan;55;Distrito Federal;7;Aérea;1;2024;Janeiro;1;1
África;1;Outros países da África;11;Distrito Federal;7;Aérea;1;2024;Janeiro;1;1
América Central e Caribe;2;Trinidad e Tobago;21;Distrito Federal;7;Aérea;1;2024;Janeiro;1;2
Europa;6;Turquia;87;Distrito Federal;7;Aérea;1;2024;Janeiro;1;6
Europa;6;Ucrânia;88;Distrito Federal;7;Aérea;1;2024;Janeiro;1;2
América do Sul;4;Uruguai;36;Distrito Federal;7;Aérea;1;2024;Janeiro;1;6
América do Sul;4;Venezuela;37;Distrito Federal;7;Aérea;1;2024;Janeiro;1;50
América do Sul;4;Paraguai;33;Mato Grosso do Sul;12;Aérea;1;2024;Janeiro;1;4
África;1;África do Sul;1;Minas Gerais;13;Aérea;1;2024;Janeiro;1;1
Europa;6;Alemanha;57;Minas Gerais;13;Aérea;1;2024;Janeiro;1;378
América do Sul;4;Argentina;26;Minas Gerais;13;Aérea;1;2024;Janeiro;1;70
Oceania;7;Austrália;90;Minas Gerais;13;Aérea;1;2024;Janeiro;1;4
Europa;6;Áustria;58;Minas Gerais;13;Aérea;1;2024;Janeiro;1;5
Europa;6;Bélgica;59;Minas Gerais;13;Aérea;1;2024;Janeiro;1;36
América do Sul;4;Bolívia;27;Minas Gerais;13;Aérea;1;2024;Janeiro;1;1
América do Norte;3;Canadá;23;Minas Gerais;13;Aérea;1;2024;Janeiro;1;19
América do Sul;4;Chile;28;Minas Gerais;13;Aérea;1;2024;Janeiro;1;165
Ásia;5;China;40;Minas Gerais;13;Aérea;1;2024;Janeiro;1;3
América do Sul;4;Colômbia;29;Minas Gerais;13;Aérea;1;2024;Janeiro;1;284
América Central e Caribe;2;Costa Rica;12;Minas Gerais;13;Aérea;1;2024;Janeiro;1;28
Europa;6;Croácia;61;Minas Gerais;13;Aérea;1;2024;Janeiro;1;1
América Central e Caribe;2;Cuba;13;Minas Gerais;13;Aérea;1;2024;Janeiro;1;3
América Central e Caribe;2;Outros países da América Central e Caribe;22;Minas Gerais;13;Aérea;1;2024;Janeiro;1;1
Europa;6;Dinamarca;62;Minas Gerais;13;Aérea;1;2024;Janeiro;1;2
América Central e Caribe;2;El Salvador;14;Minas Gerais;13;Aérea;1;2024;Janeiro;1;2
América do Sul;4;Equador;30;Minas Gerais;13;Aérea;1;2024;Janeiro;1;34
Europa;6;Espanha;65;Minas Gerais;13;Aérea;1;2024;Janeiro;1;41
América do Norte;3;Estados Unidos;24;Minas Gerais;13;Aérea;1;2024;Janeiro;1;442
